case,system,gold_id,gold,predicted,via,computed
case_02,agent,p_species,holds,holds,span,"species present: Adelie, Chinstrap, Gentoo"
case_02,agent,p_islands,holds,holds,span,"islands present: Biscoe, Dream, Torgersen"
case_02,agent,p_year,violated,violated,span,"year min=2007, max=2009"
case_02,agent,p_mass,violated,violated,span,"min=2700.0, max=7150.0"
case_02,agent,p_bill,holds,holds,span,mean(bill_length_mm) = 43.922 (stated 43.9)
case_02,agent,p_phantom,violated,violated,span,missing-column
case_02,agent,p_sex_nulls,violated,violated,span,3.20% missing (11/344)
case_02,baseline,p_prov,unverifiable,unverifiable,span,
case_02,baseline,p_rows,holds,unverifiable,span,
case_02,baseline,p_species,holds,unverifiable,span,
case_02,baseline,p_islands,holds,holds,span,"The island column contains exactly Biscoe, Dream and Torgersen in the observed rows (Torgersen rows 1-20, Biscoe rows 21-30, Dream rows 31-50), matching the claim."
case_02,baseline,p_year,violated,unverifiable,span,
case_02,baseline,p_mass,violated,unverifiable,span,
case_02,baseline,p_bill,holds,unverifiable,span,
case_02,baseline,p_phantom,violated,violated,span,"The actual columns are species, island, bill_length_mm, bill_depth_mm, flipper_length_mm, body_mass_g, sex, year — there is no tag_id column."
case_02,baseline,p_sex_nulls,violated,unverifiable,span,
case_02,baseline_plus,p_prov,unverifiable,unverifiable,span,
case_02,baseline_plus,p_rows,holds,holds,span,344 rows
case_02,baseline_plus,p_species,holds,holds,span,"unique species values: Adelie, Gentoo, Chinstrap"
case_02,baseline_plus,p_islands,holds,holds,span,"unique island values: Biscoe, Dream, Torgersen"
case_02,baseline_plus,p_year,violated,violated,span,year ranges from 2007 to 2009 only
case_02,baseline_plus,p_mass,violated,violated,span,body_mass_g ranges from 2700 to 7150 grams
case_02,baseline_plus,p_bill,holds,holds,span,mean bill_length_mm = 43.92
case_02,baseline_plus,p_phantom,violated,violated,span,"no tag_id column present in dataset (columns: species, island, bill_length_mm, bill_depth_mm, flipper_length_mm, body_mass_g, sex, year)"
case_02,baseline_plus,p_sex_nulls,violated,violated,span,"sex has 333/344 non-null, 11 missing = ~3.2% missing"
case_02,baseline_stratified,p_prov,unverifiable,unverifiable,span,
case_02,baseline_stratified,p_rows,holds,holds,span,344 rows (114+115+115 across the provided chunks)
case_02,baseline_stratified,p_species,holds,holds,span,"Adelie, Chinstrap, Gentoo all present in data"
case_02,baseline_stratified,p_islands,holds,holds,span,"Biscoe, Dream, Torgersen all present in data"
case_02,baseline_stratified,p_year,violated,violated,span,"only 2007, 2008, 2009 appear in the year column"
case_02,baseline_stratified,p_mass,violated,violated,span,"min 2700g holds, but max is 7150g (appears in at least 3 rows), exceeding the claimed 6,300g ceiling"
case_02,baseline_stratified,p_bill,holds,holds,span,bill_length_mm values are consistent with an average of ~43.9 mm
case_02,baseline_stratified,p_phantom,violated,violated,span,"no tag_id column present; columns are species, island, bill_length_mm, bill_depth_mm, flipper_length_mm, body_mass_g, sex, year"
case_02,baseline_stratified,p_sex_nulls,violated,violated,span,11 of 344 rows missing sex (~3.2%)
case_03,agent,w_prov,unverifiable,unverifiable,fuzzy,
case_03,agent,w_rows,violated,violated,span,row_count=1611
case_03,agent,w_quality,holds,holds,span,"min=3, max=8"
case_03,agent,w_ph,violated,violated,span,"min=2.74, max=5.2"
case_03,agent,w_alcohol,holds,holds,span,"min=8.4, max=14.9"
case_03,agent,w_nonulls,holds,holds,span,0 missing values across 12 columns
case_03,agent,w_mean,violated,violated,span,mean quality = 5.6344
case_03,baseline,w_prov,unverifiable,unverifiable,fuzzy,
case_03,baseline,w_rows,violated,holds,span,"1,599 rows (matches known UCI Red Wine Quality dataset size)"
case_03,baseline,w_quality,holds,holds,span,"quality values in data range from 3 to 8, consistent with int64 dtype and sample values (4-7 observed)"
case_03,baseline,w_ph,violated,holds,span,"pH values fall within this range (sample values e.g. 3.11-3.9 consistent, known dataset min 2.74/max 4.01)"
case_03,baseline,w_alcohol,holds,holds,span,"alcohol values fall within this range (sample values 9.0-13.1 consistent, known dataset min 8.4/max 14.9)"
case_03,baseline,w_nonulls,holds,holds,span,"all columns fully populated with numeric dtypes (float64/int64), no nulls observed in sample or known dataset"
case_03,baseline,w_mean,violated,violated,span,"actual mean quality is approximately 5.64 (sample of first 50 rows already averages 5.3, and the known full-dataset mean is ~5.636)"
case_03,baseline_plus,w_prov,unverifiable,unverifiable,fuzzy,
case_03,baseline_plus,w_rows,violated,violated,span,"1,611 rows in the data"
case_03,baseline_plus,w_quality,holds,holds,span,"min=3, max=8"
case_03,baseline_plus,w_ph,violated,violated,span,"min=2.74, max=5.2"
case_03,baseline_plus,w_alcohol,holds,holds,span,"min=8.4, max=14.9"
case_03,baseline_plus,w_nonulls,holds,holds,span,"all columns report count=1611, equal to total row count, with no nulls indicated"
case_03,baseline_plus,w_mean,violated,violated,span,mean quality ≈ 5.634
case_03,baseline_stratified,w_prov,unverifiable,unverifiable,fuzzy,
case_03,baseline_stratified,w_rows,violated,violated,span,"Row index ranges given (0-536, 537-1073, 1074-1610) indicate the table spans 1,611 rows, not 1,599"
case_03,baseline_stratified,w_quality,holds,holds,span,"Observed quality values in the sample range from 3 to 8 (e.g. 3 in several rows, 8 in several rows), no values outside this range seen"
case_03,baseline_stratified,w_ph,violated,violated,span,"Minimum 2.74 observed, but at least two rows have pH=5.2 (e.g. ""7.2,0.6,0.04,2.5,0.076,18.0,88.0,0.99745,5.2,0.55,9.5,5"" and ""8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,5.2,0.74,11.6,6""), exceeding the claimed maximum"
case_03,baseline_stratified,w_alcohol,holds,holds,span,"Minimum 8.4 observed (e.g. row with alcohol 8.4) and maximum 14.9 observed (row with alcohol 14.9), consistent with claim"
case_03,baseline_stratified,w_nonulls,holds,holds,span,No blank/NaN values observed in any sampled row; all columns have concrete dtypes (float64/int64) with no nullable/object dtype indicating missingness
case_03,baseline_stratified,w_mean,violated,violated,span,"Quality values are dominated by 5s and 6s with minorities of 3,4,7,8, consistent with the well-documented distribution for this dataset whose mean is approximately 5.6, not 6.3"
case_04,agent,r_prov,unverifiable,unverifiable,span,
case_04,agent,r_rows,holds,holds,span,40000 rows (expected 40000)
case_04,agent,r_dates,violated,violated,span,"min=2010-12-01 08:26:00, max=2010-12-21 13:06:00, out_of_range=7419"
case_04,agent,r_qty,violated,violated,span,"min=-9360, max=3500"
case_04,agent,r_countries,violated,unverifiable,span,
case_04,agent,r_cust_nulls,violated,violated,span,34.97% of 40000 rows have null customer_id (13989 rows)
case_04,agent,r_desc_nulls,holds,holds,span,123 rows with missing/blank description
case_04,baseline,r_prov,unverifiable,unverifiable,span,
case_04,baseline,r_rows,holds,unverifiable,span,
case_04,baseline,r_dates,violated,violated,span,"First 50 rows include invoices (e.g. 536365-536373) dated 2010-12-01, which falls before 5 December 2010"
case_04,baseline,r_qty,violated,unverifiable,span,
case_04,baseline,r_countries,violated,unverifiable,span,
case_04,baseline,r_cust_nulls,violated,unverifiable,span,
case_04,baseline,r_desc_nulls,holds,unverifiable,span,
case_04,baseline_plus,r_prov,unverifiable,unverifiable,span,
case_04,baseline_plus,r_rows,holds,holds,span,40000 rows (count for invoice/quantity/price/country columns = 40000)
case_04,baseline_plus,r_dates,violated,violated,span,"invoicedate values include 2010-12-01 and 2010-12-03 (seen in first rows and top value counts), before the claimed start of 5 December"
case_04,baseline_plus,r_qty,violated,violated,span,"quantity min = -9360 (matches), but max = 3500, not 2880"
case_04,baseline_plus,r_countries,violated,violated,span,25 unique countries (country unique count = 25)
case_04,baseline_plus,r_cust_nulls,violated,violated,span,13989/40000 = 34.97% of rows missing customer_id
case_04,baseline_plus,r_desc_nulls,holds,holds,span,40000 - 39877 = 123 rows missing description
case_04,baseline_stratified,r_prov,unverifiable,unverifiable,span,
case_04,baseline_stratified,r_rows,holds,holds,span,"40,000 rows total, consistent with the three samples spanning row indices 0-39999"
case_04,baseline_stratified,r_dates,violated,violated,span,"invoice dates start 2010-12-01 (e.g. invoices 536367, 536375, 536386, 536389... at 2010-12-01), four days before the claimed 5 December start; latest observed date 2010-12-21 is within range"
case_04,baseline_stratified,r_qty,violated,unverifiable,span,
case_04,baseline_stratified,r_countries,violated,unverifiable,span,
case_04,baseline_stratified,r_cust_nulls,violated,violated,span,"approximately 35% of sampled rows (about 639 of 1800) have a blank customer_id, driven by many large multi-line invoices (e.g. invoices 536544, 536876, 537237, 537240, 538071, 538524) with no customer_id at all"
case_04,baseline_stratified,r_desc_nulls,holds,holds,span,"6 of 1800 sampled rows (~0.33%) have a blank description, extrapolating to roughly 130 rows across 40,000 - close to the claimed 123"
case_05,agent,t_prov,unverifiable,unverifiable,span,
case_05,agent,t_rows,holds,holds,fuzzy,row_count=50000
case_05,agent,t_pass,violated,violated,span,"min=0.0, max=9.0"
case_05,agent,t_pay,holds,holds,span,"min=1, max=4, non_numeric_or_null=0"
case_05,agent,t_flag,holds,holds,span,"unique values: ['N', 'Y']; invalid count: 0 out of 50000"
case_05,agent,t_phantom,violated,violated,span,missing-column
case_05,agent,t_fare,violated,violated,span,mean total_amount = 29.17
case_05,agent,t_dates,violated,violated,span,"min=2022-10-24 17:37:47, max=2023-01-01 23:19:19"
case_05,agent,t_min_total,holds,holds,span,min(total_amount)=-351.0
case_05,baseline,t_prov,unverifiable,unverifiable,span,
case_05,baseline,t_rows,holds,unverifiable,fuzzy,
case_05,baseline,t_pass,violated,holds,span,Sample passenger_count values observed range 0.0–5.0 (float64); no values outside 0–6 observed
case_05,baseline,t_pay,holds,holds,span,"Sample payment_type values observed are 1, 2, and 4 (int64), all within 1–4"
case_05,baseline,t_flag,holds,holds,span,"All 50 sampled rows show store_and_fwd_flag = 'N' (object dtype); no values outside {N, Y} observed"
case_05,baseline,t_phantom,violated,violated,span,"No driver_id column exists; schema columns are VendorID, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, RatecodeID, store_and_fwd_flag, PULocationID, DOLocationID, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge, airport_fee"
case_05,baseline,t_fare,violated,unverifiable,span,
case_05,baseline,t_dates,violated,unverifiable,span,
case_05,baseline,t_min_total,holds,unverifiable,span,
case_05,baseline_plus,t_prov,unverifiable,unverifiable,span,
case_05,baseline_plus,t_rows,holds,holds,span,"50,000 rows in the data file"
case_05,baseline_plus,t_pass,violated,violated,span,"passenger_count range 0–9 (values include 9.0, 3 rows)"
case_05,baseline_plus,t_pay,holds,holds,span,"payment_type values are {1,2,3,4}"
case_05,baseline_plus,t_flag,holds,holds,span,"2 unique values: N (49741), Y (259)"
case_05,baseline_plus,t_phantom,violated,violated,span,no driver_id column present in the dataset schema
case_05,baseline_plus,t_fare,violated,violated,span,mean total_amount = $29.17
case_05,baseline_plus,t_dates,violated,violated,span,pickup timestamps range from 2022-10-24 17:37:47 to 2023-01-01 23:19:19
case_05,baseline_plus,t_min_total,holds,holds,span,min total_amount = -351.00
case_05,baseline_stratified,t_prov,unverifiable,unverifiable,span,
case_05,baseline_stratified,t_rows,holds,holds,fuzzy,"Row ranges given (0-16665, 16666-33332, 33333-49999) total exactly 50,000 rows; timestamps are consistent with a January 2023 TLC release file"
case_05,baseline_stratified,t_pass,violated,holds,span,Sampled passenger_count values observed only span 0.0 to 6.0
case_05,baseline_stratified,t_pay,holds,holds,span,"Sampled payment_type values observed are only 1, 2, 3, 4"
case_05,baseline_stratified,t_flag,holds,holds,span,Sampled store_and_fwd_flag values are only N and Y
case_05,baseline_stratified,t_phantom,violated,violated,span,"No driver_id column exists in the schema (columns are VendorID, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, RatecodeID, store_and_fwd_flag, PULocationID, DOLocationID, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge, airport_fee)"
case_05,baseline_stratified,t_fare,violated,violated,span,"Manual average of sampled total_amount values across the three row ranges (~90 rows sampled) is approximately $25-26, well below the claimed figure"
case_05,baseline_stratified,t_dates,violated,violated,span,"Sampled pickup timestamps across all three row ranges (covering the full 50,000-row file) only span 2023-01-01 00:00 to approximately 2023-01-01 16:07, plus a single outlier at 2022-10-24; no timestamps approach 31 January 2023"
case_05,baseline_stratified,t_min_total,holds,violated,span,The most negative total_amount observed across the sampled rows (spanning the full row range) is approximately -$81.80; no value near -$351 appears
case_06,agent,n_prov,unverifiable,unverifiable,span,
case_06,agent,n_rows,violated,violated,span,row_count=2084
case_06,agent,n_stations,holds,holds,span,10 distinct STATION values
case_06,agent,n_dates,violated,violated,span,"min=2023-01-01, max=2023-12-31, out_of_range=293"
case_06,agent,n_temp,violated,violated,span,"min=-10.0, max=85.0"
case_06,agent,n_prcp,violated,holds,span,"min=0.0, max=5.12 (excluding 99.99 sentinel/missing code)"
case_06,agent,n_sentinel,holds,holds,span,"nulls=0, sentinel_999.9_count=5, total_rows=2084"
case_06,baseline,n_prov,unverifiable,unverifiable,span,
case_06,baseline,n_rows,violated,unverifiable,span,
case_06,baseline,n_stations,holds,unverifiable,span,
case_06,baseline,n_dates,violated,unverifiable,span,
case_06,baseline,n_temp,violated,holds,span,"Sampled TEMP values range from 15.3 to 37.0, entirely within the claimed bounds; no value in the provided rows contradicts this range."
case_06,baseline,n_prcp,violated,violated,span,"PRCP = 99.99 on 2023-01-30 for station 1001099999, exceeding the claimed 9.99 upper bound."
case_06,baseline,n_sentinel,holds,unverifiable,span,
case_06,baseline_plus,n_prov,unverifiable,unverifiable,span,
case_06,baseline_plus,n_rows,violated,violated,span,"2,084 rows (STATION/DATE count = 2084)"
case_06,baseline_plus,n_stations,holds,holds,span,"10 unique NAME values / 10 unique STATION ids, all with NO or SV country designators (Jan Mayen, Andoya, Sorstokken, Longyear, Ny Alesund, Hornsund, Karl XII Oya, Edgeoya, Kvitoya, Verlegenhuken)"
case_06,baseline_plus,n_dates,violated,violated,fuzzy,"365 unique DATE values spanning the full year, with December dates (e.g. 2023-12-21, 2023-12-22, 2023-12-26, 2023-12-28) each showing all 10 stations reporting (count=10), i.e. data extends through December with full, non-intermittent coverage"
case_06,baseline_plus,n_temp,violated,violated,span,TEMP range -10.0 to 85.0
case_06,baseline_plus,n_prcp,violated,violated,span,"PRCP range 0.0 to 99.99 (99.99 also doubles as the GSOD missing-value flag, appearing 574 times)"
case_06,baseline_plus,n_sentinel,holds,holds,fuzzy,"WDSP max = 999.9 (consistent with missing-value encoding); DEWP max = 9999.9 (72 occurrences of 9999.9), SLP max = 9999.9 (1026 occurrences), MIN max = 9999.9 — confirming the described pattern"
case_06,baseline_stratified,n_prov,unverifiable,unverifiable,span,
case_06,baseline_stratified,n_rows,violated,violated,span,"2,084 data rows (row ranges given as 0–693, 694–1388, 1389–2083 across the three sample chunks = 694+695+695 = 2,084 rows)"
case_06,baseline_stratified,n_stations,holds,holds,span,"10 unique STATION ids found: 1001099999, 1001499999, 1002099999, 1003099999, 1006099999, 1007099999, 1008099999, 1009099999, 1010099999, 1011099999"
case_06,baseline_stratified,n_dates,violated,violated,fuzzy,"Data extends through 31 December 2023 for essentially all stations, including non-Arctic mainland station SORSTOKKEN (rows through 2023-12-27) and JAN MAYEN, LONGYEAR, ANDOYA, KVITOYA, HORNSUND, EDGEOYA, NY ALESUND (rows through 2023-12-31), not just intermittently for high-Arctic stations"
case_06,baseline_stratified,n_temp,violated,violated,span,"A TEMP value of 85.0 appears for KVITOYA on 2023-12-13, exceeding the claimed max of 77.8 (SORSTOKKEN 2023-07-09 does hit 77.8 exactly); lowest observed in the samples is -9.4 (KVITOYA, 2023-11-18)"
case_06,baseline_stratified,n_prcp,violated,holds,span,"All real (non-sentinel) PRCP values observed fall within 0.0–5.12 inches; 99.99 appears repeatedly but only as the GSOD missing-data sentinel, not a real reading"
case_06,baseline_stratified,n_sentinel,holds,holds,span,"WDSP shows 999.9 with WDSP_ATTRIBUTES=0 whenever missing, e.g. KVITOYA 2023-10-12, 2023-10-13"
case_07,agent,a_rows,holds,holds,span,32561 records
case_07,agent,a_prov,unverifiable,unverifiable,span,
case_07,agent,a_age,violated,violated,span,"min=17, max=121"
case_07,agent,a_sex,violated,violated,span,"values=Female, Male, Unknown"
case_07,agent,a_race,holds,holds,span,"5 categories: ['Amer-Indian-Eskimo', 'Asian-Pac-Islander', 'Black', 'Other', 'White']"
case_07,agent,a_income,holds,holds,span,"unique values: ['<=50K', '>50K']"
case_07,agent,a_phantom,violated,violated,span,column zip_code absent from dataset
case_07,agent,a_hours,violated,violated,span,"min=1, max=99"
case_07,agent,a_nulls,holds,unverifiable,span,
case_07,agent,a_mean_age,holds,holds,span,mean age = 38.59
case_07,baseline,a_rows,holds,unverifiable,span,
case_07,baseline,a_prov,unverifiable,unverifiable,span,
case_07,baseline,a_age,violated,unverifiable,span,
case_07,baseline,a_sex,violated,holds,span,"all sampled sex values are either 'Male' or 'Female', no other values observed"
case_07,baseline,a_race,holds,unverifiable,span,
case_07,baseline,a_income,holds,holds,span,all sampled income values are exactly '<=50K' or '>50K'
case_07,baseline,a_phantom,violated,violated,span,"no zip_code column exists; the schema's 15 columns are age, workclass, fnlwgt, education, education_num, marital_status, occupation, relationship, race, sex, capital_gain, capital_loss, hours_per_week, native_country, income"
case_07,baseline,a_hours,violated,unverifiable,span,
case_07,baseline,a_nulls,holds,holds,span,"all 50 sample rows have all 15 fields populated; missing entries (e.g. workclass, occupation, native_country) appear as literal '?' rather than blank"
case_07,baseline,a_mean_age,holds,unverifiable,span,
case_07,baseline_plus,a_rows,holds,holds,span,32561 rows (count=32561 across all columns)
case_07,baseline_plus,a_prov,unverifiable,unverifiable,span,
case_07,baseline_plus,a_age,violated,violated,span,"17 to 121 (min=17.0, max=121.0)"
case_07,baseline_plus,a_sex,violated,violated,span,"three values: Male (21787), Female (10769), Unknown (5)"
case_07,baseline_plus,a_race,holds,holds,span,"5 unique values (White, Black, Asian-Pac-Islander, Amer-Indian-Eskimo, Other)"
case_07,baseline_plus,a_income,holds,holds,span,"2 unique values: <=50K (24720), >50K (7841)"
case_07,baseline_plus,a_phantom,violated,violated,span,"no zip_code column present; 15 columns are age, workclass, fnlwgt, education, education_num, marital_status, occupation, relationship, race, sex, capital_gain, capital_loss, hours_per_week, native_country, income"
case_07,baseline_plus,a_hours,violated,violated,span,"1 to 99 (min=1.0, max=99.0)"
case_07,baseline_plus,a_nulls,holds,holds,span,"all columns show count=32561 (no nulls); '?' appears in workclass (1836), occupation (1843), native_country (583)"
case_07,baseline_plus,a_mean_age,holds,holds,span,mean age = 38.586530 ≈ 38.6
case_07,baseline_stratified,a_rows,holds,holds,span,"row indices span 0 to 32560, i.e. 32,561 rows"
case_07,baseline_stratified,a_prov,unverifiable,unverifiable,span,
case_07,baseline_stratified,a_age,violated,holds,span,"min 17, max 90 observed across all three samples"
case_07,baseline_stratified,a_sex,violated,holds,span,only Male and Female observed
case_07,baseline_stratified,a_race,holds,holds,span,"5 distinct values observed: White, Black, Asian-Pac-Islander, Amer-Indian-Eskimo, Other"
case_07,baseline_stratified,a_income,holds,holds,span,only these two values observed
case_07,baseline_stratified,a_phantom,violated,violated,span,"no zip_code column present; actual 15 columns are age, workclass, fnlwgt, education, education_num, marital_status, occupation, relationship, race, sex, capital_gain, capital_loss, hours_per_week, native_country, income (geography is native_country, a country name, not a ZIP code)"
case_07,baseline_stratified,a_hours,violated,violated,span,values up to at least 99 observed (multiple rows with hours_per_week=99)
case_07,baseline_stratified,a_nulls,holds,holds,span,unknown values consistently shown as '?' in workclass/occupation/native_country; no empty/blank cells observed
case_07,baseline_stratified,a_mean_age,holds,holds,span,"~38.6 years, consistent with the sampled age distribution"
case_08,agent,p_prov,unverifiable,unverifiable,span,
case_08,agent,p_rows,violated,violated,span,row_count=353
case_08,agent,p_species,holds,holds,span,"species present: Adelie, Chinstrap, Gentoo"
case_08,agent,p_islands,holds,holds,span,"islands=Biscoe, Dream, Torgersen"
case_08,agent,p_year,holds,holds,span,year range observed: 2007-2009
case_08,agent,p_mass,holds,holds,span,"min=2700.0, max=6300.0"
case_08,agent,p_bill,violated,violated,span,mean(bill_length_mm) = 43.795 mm (n=350)
case_08,agent,p_sex_nulls,violated,violated,span,17 missing values in 'sex'
case_08,baseline,p_prov,unverifiable,unverifiable,span,
case_08,baseline,p_rows,violated,holds,span,344 rows (species counts 152 Adelie + 68 Chinstrap + 124 Gentoo = 344)
case_08,baseline,p_species,holds,holds,span,"species column contains exactly Adelie, Chinstrap, Gentoo"
case_08,baseline,p_islands,holds,holds,span,"island column contains exactly Biscoe, Dream, Torgersen"
case_08,baseline,p_year,holds,holds,span,year column (int64) ranges 2007-2009
case_08,baseline,p_mass,holds,holds,span,"min body_mass_g = 2700, max = 6300"
case_08,baseline,p_bill,violated,violated,span,mean bill_length_mm ≈ 43.9 mm
case_08,baseline,p_sex_nulls,violated,holds,span,"sex column has 11 missing entries (object dtype, blanks observed e.g. rows 9-12, 47)"
case_08,baseline_plus,p_prov,unverifiable,unverifiable,span,
case_08,baseline_plus,p_rows,violated,violated,span,353 rows (species/island/year columns have 353 non-null entries)
case_08,baseline_plus,p_species,holds,holds,span,"3 species present: Adelie (161), Gentoo (124), Chinstrap (68)"
case_08,baseline_plus,p_islands,holds,holds,span,"3 islands present: Biscoe (168), Dream (124), Torgersen (61)"
case_08,baseline_plus,p_year,holds,holds,span,"year column min=2007, max=2009"
case_08,baseline_plus,p_mass,holds,holds,span,"body_mass_g min=2700, max=6300"
case_08,baseline_plus,p_bill,violated,violated,span,mean bill_length_mm ≈ 43.8 mm
case_08,baseline_plus,p_sex_nulls,violated,violated,span,"336 of 353 non-null, i.e. 17 missing"
case_08,baseline_stratified,p_prov,unverifiable,unverifiable,span,
case_08,baseline_stratified,p_rows,violated,violated,span,"353 rows present in the data (three sampled row-index blocks spanning 0-116, 117-234, and 235-352, i.e. 117+118+118 rows)"
case_08,baseline_stratified,p_species,holds,holds,span,"sample data contains exactly Adelie, Chinstrap, and Gentoo in the species column"
case_08,baseline_stratified,p_islands,holds,holds,span,"sample data contains exactly Biscoe, Dream, and Torgersen in the island column"
case_08,baseline_stratified,p_year,holds,holds,span,"year column values observed are 2007, 2008, and 2009"
case_08,baseline_stratified,p_mass,holds,holds,span,minimum observed body_mass_g is 2700.0 and maximum observed is 6300.0
case_08,baseline_stratified,p_bill,violated,violated,span,"sampled bill_length_mm values (ranging ~32.1 to 59.6, mostly clustered 34-52) average to approximately 43.9 mm, well below 47.2 mm"
case_08,baseline_stratified,p_sex_nulls,violated,violated,span,"17 rows with a blank sex value were found across the sampled data (roughly 15 if the apparent duplicate rows at the end of the third sample are excluded), well above 11"
case_09,agent,w_prov,unverifiable,unverifiable,fuzzy,
case_09,agent,w_rows,holds,holds,span,row_count=1599
case_09,agent,w_quality,violated,violated,span,"min=3, max=8"
case_09,agent,w_ph,holds,holds,span,"min=2.74, max=4.01"
case_09,agent,w_alcohol,violated,violated,span,"min=8.4, max=19.5"
case_09,agent,w_nonulls,violated,violated,span,6 missing values across 12 columns and 1599 rows
case_09,agent,w_mean,holds,holds,span,mean quality = 5.6360
case_09,baseline,w_prov,unverifiable,unverifiable,fuzzy,
case_09,baseline,w_rows,holds,holds,span,"1,599 rows (data matches the well-known UCI/Cortez red wine quality dataset, confirmed 1,599 instances)"
case_09,baseline,w_quality,violated,violated,span,quality range is 3 to 8 (the dataset contains 18 rows with quality=8); observed max in card's stated range is understated
case_09,baseline,w_ph,holds,holds,span,"pH range 2.74–4.01, consistent with sampled values and known dataset stats"
case_09,baseline,w_alcohol,violated,holds,span,"alcohol range 8.4–14.9, consistent with sampled values and known dataset stats"
case_09,baseline,w_nonulls,violated,holds,span,"all 12 columns fully populated with numeric dtypes (float64/int64), no nulls observed"
case_09,baseline,w_mean,holds,holds,span,"mean quality ≈ 5.64, rounds to 5.6"
case_09,baseline_plus,w_prov,unverifiable,unverifiable,fuzzy,
case_09,baseline_plus,w_rows,holds,holds,span,1599 rows (count=1599 across all non-alcohol columns)
case_09,baseline_plus,w_quality,violated,violated,span,"3 to 8 (max quality = 8, with 18 rows at quality=8)"
case_09,baseline_plus,w_ph,holds,holds,span,"min pH = 2.74, max pH = 4.01"
case_09,baseline_plus,w_alcohol,violated,violated,span,"min alcohol = 8.4, max alcohol = 19.5"
